source,target,relationship,label
530,1207,compel,OBLIGATE
530,532,obligate,OBLIGATE
22,1208,update,REPORT
425,49,mandate,OBLIGATE
425,46,regulate,REGULATE
39,46,regulate,REGULATE
40,46,regulate,REGULATE
23,300,promote,SUPPORT
0,1210,monitor,REGULATE
10,532,obligate,OBLIGATE
11,1212,utilize,USE
531,1213,develop,DEVELOP
111,112,establish,DEVELOP
532,1214,obligate,OBLIGATE
533,1215,review,EVALUATE
346,802,mandate,OBLIGATE
263,751,improve,DEVELOP
289,1217,establish,DEVELOP
28,1218,instruct,OBLIGATE
10,739,require,OBLIGATE
10,570,require,OBLIGATE
534,1219,establish,DEVELOP
44,739,demand,OBLIGATE
535,1220,disclose,REPORT
535,1220,support,SUPPORT
536,1221,establish,DEVELOP
536,739,submit,REPORT
10,802,order,OBLIGATE
11,953,impose,OBLIGATE
11,929,mandate,OBLIGATE
28,953,impose,OBLIGATE
10,739,require,OBLIGATE
495,496,require,OBLIGATE
495,46,use,USE
496,46,use,USE
502,537,direct,OBLIGATE
538,1227,establish,DEVELOP
245,24,require,OBLIGATE
539,24,require,OBLIGATE
43,540,establish,DEVELOP
43,311,require,OBLIGATE
311,540,establish,DEVELOP
540,311,require,OBLIGATE
454,764,use,USE
542,543,establish,DEVELOP
542,300,review,EVALUATE
543,300,review,EVALUATE
10,1229,direct,OBLIGATE
527,54,mandate,OBLIGATE
544,534,require,OBLIGATE
544,1231,utilize,USE
545,1227,administer,REGULATE
534,1231,utilize,USE
30,771,implement,IMPLEMENT
15,769,involve,COORDINATE
15,469,require,OBLIGATE
384,769,involve,COORDINATE
384,469,require,OBLIGATE
469,769,involve,COORDINATE
384,880,engage,COORDINATE
546,1233,establish,DEVELOP
546,1234,improve,DEVELOP
247,343,require,OBLIGATE
304,117,require,OBLIGATE
549,1239,disclose,REPORT
550,1240,direct,OBLIGATE
551,1242,establish,DEVELOP
551,117,mandate,OBLIGATE
117,1242,establish,DEVELOP
11,1243,counter,REGULATE
11,1245,submit,REPORT
11,1243,support,SUPPORT
39,168,require,OBLIGATE
552,44,mandate,OBLIGATE
40,44,mandate,OBLIGATE
553,1246,obligate,OBLIGATE
52,1246,obligate,OBLIGATE
555,1248,mandate,OBLIGATE
10,739,require,OBLIGATE
495,30,require,OBLIGATE
556,739,submit,REPORT
557,1250,establish,DEVELOP
558,1250,establish,DEVELOP
10,1251,report,REPORT
559,560,oversee,REGULATE
562,1254,ensure,REGULATE
563,1254,ensure,REGULATE
564,565,establish,DEVELOP
564,46,involve,COORDINATE
565,46,involve,COORDINATE
566,1254,ensure,REGULATE
480,325,require,OBLIGATE
221,325,require,OBLIGATE
567,221,implement,IMPLEMENT
56,1255,utilize,USE
568,117,require,OBLIGATE
569,46,involve,COORDINATE
11,300,require,OBLIGATE
10,767,develop,DEVELOP
10,25,direct,OBLIGATE
35,767,develop,DEVELOP
35,25,direct,OBLIGATE
35,28,mandate,OBLIGATE
25,767,develop,DEVELOP
74,1256,develop,DEVELOP
74,1257,facilitate,SUPPORT
74,46,promote,SUPPORT
47,426,require,OBLIGATE
47,1258,update,REPORT
426,1258,update,REPORT
27,838,update,REPORT
35,27,require,OBLIGATE
35,838,update,REPORT
77,1256,develop,DEVELOP
77,74,establish,DEVELOP
77,1257,facilitate,SUPPORT
77,46,promote,SUPPORT
10,11,require,OBLIGATE
325,11,require,OBLIGATE
570,11,require,OBLIGATE
571,1248,compel,OBLIGATE
555,1248,compel,OBLIGATE
221,380,direct,OBLIGATE
64,22,direct,OBLIGATE
64,1259,ensure,REGULATE
67,958,develop,DEVELOP
22,1259,ensure,REGULATE
572,958,develop,DEVELOP
51,1261,establish,DEVELOP
574,1263,support,SUPPORT
575,1264,protect,REGULATE
11,300,prohibit,RESTRICT
576,1265,direct,OBLIGATE
577,1265,direct,OBLIGATE
577,1265,require,OBLIGATE
578,1265,direct,OBLIGATE
88,1266,mandate,OBLIGATE
89,1266,mandate,OBLIGATE
89,88,require,OBLIGATE
238,1266,mandate,OBLIGATE
238,88,require,OBLIGATE
579,88,direct,OBLIGATE
580,579,convene,COORDINATE
43,540,establish,DEVELOP
43,311,mandate,OBLIGATE
311,540,establish,DEVELOP
44,781,establish,DEVELOP
50,263,obligate,OBLIGATE
52,263,obligate,OBLIGATE
581,11,direct,OBLIGATE
11,1267,impose,OBLIGATE
11,1267,waive,AUTHORIZE
582,11,direct,OBLIGATE
10,39,direct,OBLIGATE
583,1268,establish,DEVELOP
277,1268,establish,DEVELOP
236,1270,establish,DEVELOP
10,121,require,OBLIGATE
1,121,require,OBLIGATE
117,121,require,OBLIGATE
24,570,protect,REGULATE
24,46,use,USE
31,1273,develop,DEVELOP
570,46,use,USE
584,1274,support,SUPPORT
539,1275,support,SUPPORT
31,1276,establish,DEVELOP
31,1275,improve,DEVELOP
585,1277,mandate,OBLIGATE
586,1278,require,OBLIGATE
587,1279,require,OBLIGATE
588,1279,require,OBLIGATE
10,739,require,OBLIGATE
64,117,instruct,OBLIGATE
590,1282,mandate,OBLIGATE
590,46,use,USE
593,46,promote,SUPPORT
594,593,establish,DEVELOP
594,46,promote,SUPPORT
543,593,establish,DEVELOP
543,46,promote,SUPPORT
10,1265,require,OBLIGATE
597,1265,require,OBLIGATE
598,300,ensure,REGULATE
25,1285,support,SUPPORT
594,1285,establish,DEVELOP
28,1285,establish,DEVELOP
28,594,mandate,OBLIGATE
599,1286,establish,DEVELOP
10,739,demand,OBLIGATE
1,1288,develop,DEVELOP
601,600,require,OBLIGATE
24,46,advance,SUPPORT
24,1289,establish,DEVELOP
602,46,coordinate,COORDINATE
30,1290,create,DEVELOP
570,46,coordinate,COORDINATE
570,602,create,DEVELOP
39,40,direct,OBLIGATE
604,46,use,USE
10,11,mandate,OBLIGATE
380,454,require,OBLIGATE
605,46,assess,EVALUATE
605,1293,evaluate,EVALUATE
605,263,require,OBLIGATE
340,607,establish,DEVELOP
340,46,promote,SUPPORT
607,46,promote,SUPPORT
263,46,assess,EVALUATE
263,1293,evaluate,EVALUATE
10,22,mandate,OBLIGATE
10,22,obligate,OBLIGATE
64,219,direct,OBLIGATE
608,1295,use,USE
10,1299,involve,COORDINATE
10,117,mandate,OBLIGATE
117,1299,involve,COORDINATE
27,1300,develop,DEVELOP
27,117,mandate,OBLIGATE
609,1300,develop,DEVELOP
609,117,mandate,OBLIGATE
117,1300,develop,DEVELOP
10,263,obligate,OBLIGATE
10,39,require,OBLIGATE
556,763,promote,SUPPORT
24,761,advance,SUPPORT
24,1050,establish,DEVELOP
35,25,require,OBLIGATE
35,1302,track,EVALUATE
35,838,update,REPORT
25,1302,track,EVALUATE
610,74,establish,DEVELOP
31,32,require,OBLIGATE
33,1304,submit,REPORT
235,158,involve,COORDINATE
235,51,mandate,OBLIGATE
51,158,involve,COORDINATE
141,1305,establish,DEVELOP
187,1306,improve,DEVELOP
10,1307,mandate,OBLIGATE
33,612,prevent,RESTRICT
64,1309,require,OBLIGATE
613,44,require,OBLIGATE
384,1,mandate,OBLIGATE
425,49,prohibit,RESTRICT
614,1310,establish,DEVELOP
615,1311,develop,DEVELOP
469,10,consult,COORDINATE
40,1312,authorize,AUTHORIZE
40,46,use,USE
585,1313,require,OBLIGATE
616,1313,require,OBLIGATE
617,1313,require,OBLIGATE
618,1313,require,OBLIGATE
166,1313,require,OBLIGATE
33,40,empower,AUTHORIZE
20,40,empower,AUTHORIZE
619,40,empower,AUTHORIZE
620,1314,develop,DEVELOP
621,1315,utilize,USE
622,1316,create,DEVELOP
101,1317,mandate,OBLIGATE
623,1317,mandate,OBLIGATE
20,40,empower,AUTHORIZE
39,40,empower,AUTHORIZE
41,40,empower,AUTHORIZE
32,1319,establish,DEVELOP
10,117,obligate,OBLIGATE
624,117,mandate,OBLIGATE
624,117,obligate,OBLIGATE
625,1321,require,OBLIGATE
54,1322,implement,IMPLEMENT
54,158,utilize,USE
64,1323,evaluate,EVALUATE
64,22,mandate,OBLIGATE
22,1323,evaluate,EVALUATE
626,1324,establish,DEVELOP
626,1325,maintain,IMPLEMENT
627,1324,establish,DEVELOP
627,1325,maintain,IMPLEMENT
75,74,establish,DEVELOP
610,74,establish,DEVELOP
10,739,obligate,OBLIGATE
628,295,establish,DEVELOP
426,1258,update,REPORT
27,838,update,REPORT
10,11,obligate,OBLIGATE
11,257,notify,REPORT
257,11,mandate,OBLIGATE
28,11,obligate,OBLIGATE
630,1327,advance,SUPPORT
612,1329,establish,DEVELOP
10,739,obligate,OBLIGATE
11,929,prohibit,RESTRICT
88,935,use,USE
238,88,require,OBLIGATE
632,47,require,OBLIGATE
633,47,require,OBLIGATE
263,1333,assess,EVALUATE
634,1333,assess,EVALUATE
634,263,direct,OBLIGATE
612,764,use,USE
242,1335,establish,DEVELOP
635,44,require,OBLIGATE
10,1336,implement,IMPLEMENT
10,44,mandate,OBLIGATE
10,44,require,OBLIGATE
44,1336,implement,IMPLEMENT
263,739,require,OBLIGATE
10,570,assess,EVALUATE
637,570,assess,EVALUATE
10,22,obligate,OBLIGATE
10,739,require,OBLIGATE
187,46,ensure,REGULATE
638,1016,implement,IMPLEMENT
524,1340,fund,AUTHORIZE
495,1340,carry,IMPLEMENT
495,1341,direct,OBLIGATE
495,1340,require,OBLIGATE
496,1341,direct,OBLIGATE
641,108,create,DEVELOP
96,1343,establish,DEVELOP
107,108,direct,OBLIGATE
642,1344,use,USE
643,46,use,USE
645,1346,share,COORDINATE
646,843,adopt,DEVELOP
646,1347,implement,IMPLEMENT
647,1348,require,OBLIGATE
647,1022,use,USE
647,1349,use,USE
519,1350,establish,DEVELOP
519,648,obligate,OBLIGATE
519,1351,operate,IMPLEMENT
519,739,submit,REPORT
648,739,submit,REPORT
138,648,obligate,OBLIGATE
138,739,submit,REPORT
649,1352,maintain,IMPLEMENT
649,1353,use,USE
4,1354,require,OBLIGATE
650,1354,require,OBLIGATE
651,1354,require,OBLIGATE
33,487,convene,COORDINATE
652,487,convene,COORDINATE
653,487,lead,COORDINATE
654,1355,supervise,REGULATE
655,1356,deny,RESTRICT
656,1356,regulate,REGULATE
149,657,create,DEVELOP
149,1356,regulate,REGULATE
146,951,adopt,DEVELOP
146,920,operate,IMPLEMENT
18,1358,examine,EVALUATE
18,979,submit,REPORT
658,18,require,OBLIGATE
658,979,submit,REPORT
659,951,adopt,DEVELOP
660,46,allow,AUTHORIZE
660,1360,allow,AUTHORIZE
480,300,maintain,IMPLEMENT
664,1365,create,DEVELOP
664,1366,establish,DEVELOP
664,1367,implement,IMPLEMENT
10,1371,limit,REGULATE
10,1244,use,USE
667,1372,develop,DEVELOP
669,147,require,OBLIGATE
669,473,use,USE
671,769,ensure,REGULATE
671,46,promote,SUPPORT
671,673,require,OBLIGATE
672,46,promote,SUPPORT
672,673,require,OBLIGATE
673,46,promote,SUPPORT
674,46,report,REPORT
677,1378,establish,DEVELOP
678,46,apply,IMPLEMENT
678,1379,apply,IMPLEMENT
678,1085,apply,IMPLEMENT
679,1380,lead,COORDINATE
681,1382,mandate,OBLIGATE
683,1385,establish,DEVELOP
684,1385,establish,DEVELOP
684,683,require,OBLIGATE
396,11,instruct,OBLIGATE
685,11,instruct,OBLIGATE
686,396,require,OBLIGATE
687,46,implement,IMPLEMENT
687,1387,mitigate,REGULATE
687,1388,use,USE
688,1389,require,OBLIGATE
689,1389,require,OBLIGATE
690,46,regulate,REGULATE
692,603,ensure,REGULATE
693,694,establish,DEVELOP
693,782,promote,SUPPORT
694,782,promote,SUPPORT
149,694,establish,DEVELOP
149,782,promote,SUPPORT
696,1392,require,OBLIGATE
696,83,require,OBLIGATE
696,1393,use,USE
698,751,evaluate,EVALUATE
215,300,ensure,REGULATE
701,1397,operate,IMPLEMENT
703,1399,enforce,REGULATE
703,46,oversee,REGULATE
704,1399,enforce,REGULATE
704,46,oversee,REGULATE
705,1400,promote,SUPPORT
706,517,promote,SUPPORT
707,1400,promote,SUPPORT
709,1403,impose,OBLIGATE
709,532,obligate,OBLIGATE
710,664,assist,SUPPORT
710,891,oversee,REGULATE
664,891,oversee,REGULATE
711,664,assist,SUPPORT
711,891,oversee,REGULATE
713,1406,develop,DEVELOP
714,46,lead,COORDINATE
715,46,apply,IMPLEMENT
717,532,obligate,OBLIGATE
717,46,oversee,REGULATE
680,717,establish,DEVELOP
680,532,obligate,OBLIGATE
680,46,oversee,REGULATE
719,487,require,OBLIGATE
720,46,examine,EVALUATE
720,487,require,OBLIGATE
33,1407,use,USE
16,1407,use,USE
722,721,permit,AUTHORIZE
723,725,create,DEVELOP
724,725,create,DEVELOP
726,1409,protect,REGULATE
282,1412,establish,DEVELOP
149,282,direct,OBLIGATE
149,1412,establish,DEVELOP
149,769,implement,IMPLEMENT
149,280,mandate,OBLIGATE
0,1414,establish,DEVELOP
4,1416,allocate,AUTHORIZE
730,1417,develop,DEVELOP
730,1418,establish,DEVELOP
730,648,obligate,OBLIGATE
730,158,use,USE
720,648,obligate,OBLIGATE
731,1419,engage,COORDINATE
734,1061,allocate,AUTHORIZE
82,735,establish,DEVELOP
736,1421,allocate,AUTHORIZE
737,1422,require,OBLIGATE
13,158,use,USE
208,46,implement,IMPLEMENT
208,740,instruct,OBLIGATE
738,1423,adopt,DEVELOP
739,46,report,REPORT
740,46,implement,IMPLEMENT
741,1424,mandate,OBLIGATE
172,1425,create,DEVELOP
742,46,assess,EVALUATE
742,1427,assist,SUPPORT
33,1428,file,REPORT
743,1428,file,REPORT
744,1429,oversee,REGULATE
146,953,permit,AUTHORIZE
146,1430,permit,AUTHORIZE
745,1432,study,EVALUATE
746,1433,implement,IMPLEMENT
33,757,allow,AUTHORIZE
748,1436,govern,REGULATE
